                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.86165,                 1.2621,                 2.0654,                0.73803,                0.49485,                0.55122,                0.43805,                0.98283,                 3.5345,                 2.2605,              0.0054415,              0.0054415,              0.0054415
                    121,                0.85879,                 1.2235,                 2.0435,                0.76274,                0.49537,                0.55485,                0.43924,                0.99019,                 3.5456,                 2.2712,              0.0053789,              0.0053789,              0.0053789
                    122,                0.85959,                  1.233,                 2.0381,                0.72323,                0.49482,                0.55347,                 0.4391,                0.98769,                 3.5981,                 2.2665,              0.0053163,              0.0053163,              0.0053163
                    123,                0.84996,                 1.2136,                 2.0435,                0.75436,                0.48709,                0.55442,                0.44061,                0.97988,                  3.474,                 2.2402,              0.0052536,              0.0052536,              0.0052536
                    124,                0.82923,                 1.1597,                 2.0259,                 0.7643,                0.49579,                0.55517,                0.44316,                 0.9806,                 3.5084,                 2.2621,              0.0051909,              0.0051909,              0.0051909
                    125,                0.85219,                 1.2122,                 2.0408,                0.75426,                0.48873,                0.55325,                 0.4408,                0.99904,                 3.5469,                 2.2922,              0.0051281,              0.0051281,              0.0051281
                    126,                0.82688,                 1.1498,                 2.0207,                0.72821,                0.48798,                0.54772,                0.43796,                 0.9949,                 3.5533,                 2.2924,              0.0050653,              0.0050653,              0.0050653
                    127,                0.84359,                 1.2013,                 2.0341,                0.71476,                0.49349,                 0.5484,                0.43969,                 0.9762,                 3.4804,                 2.2558,              0.0050025,              0.0050025,              0.0050025
                    128,                0.82035,                  1.161,                 2.0145,                0.72706,                 0.4899,                0.55694,                 0.4443,                0.96614,                 3.4742,                 2.2423,              0.0049397,              0.0049397,              0.0049397
                    129,                0.84218,                 1.1691,                 2.0259,                 0.7428,                0.49801,                0.55648,                0.44313,                0.96902,                 3.4553,                  2.242,              0.0048769,              0.0048769,              0.0048769
                    130,                0.83345,                 1.1818,                 2.0302,                0.74644,                0.49993,                0.55905,                0.44689,                0.96026,                 3.3651,                 2.2414,              0.0048141,              0.0048141,              0.0048141
                    131,                0.82293,                   1.14,                 2.0049,                0.70905,                0.50837,                0.55951,                0.44952,                0.94721,                 3.3985,                 2.2126,              0.0047514,              0.0047514,              0.0047514
                    132,                0.84161,                 1.1772,                 2.0318,                0.72465,                0.50595,                0.55938,                0.45148,                0.94407,                 3.4459,                  2.206,              0.0046887,              0.0046887,              0.0046887
                    133,                 0.8296,                 1.1424,                 2.0145,                0.71375,                0.50978,                0.56331,                0.45167,                0.94806,                  3.405,                 2.2181,              0.0046261,              0.0046261,              0.0046261
                    134,                0.82556,                 1.1312,                 2.0111,                0.72737,                0.50253,                0.56118,                0.45122,                0.95219,                 3.3513,                 2.2236,              0.0045635,              0.0045635,              0.0045635
                    135,                0.82422,                 1.1677,                 2.0275,                0.72259,                0.51042,                  0.559,                0.45279,                0.94908,                  3.393,                  2.224,              0.0045009,              0.0045009,              0.0045009
                    136,                 0.8158,                 1.1415,                 2.0098,                 0.7242,                0.51359,                0.56259,                0.45613,                0.95822,                  3.446,                 2.2457,              0.0044385,              0.0044385,              0.0044385
                    137,                0.80818,                  1.121,                 1.9983,                0.70587,                0.51745,                0.56094,                0.45277,                0.97049,                 3.5047,                 2.2494,              0.0043761,              0.0043761,              0.0043761
                    138,                0.80889,                 1.1429,                  2.006,                0.76021,                0.48997,                0.55944,                  0.451,                0.96141,                 3.4598,                 2.2397,              0.0043139,              0.0043139,              0.0043139
                    139,                 0.8082,                 1.1039,                 1.9977,                0.73953,                0.48862,                0.55466,                0.44777,                0.96181,                 3.5147,                 2.2257,              0.0042517,              0.0042517,              0.0042517
                    140,                0.79858,                 1.1051,                 2.0001,                 0.7432,                 0.4919,                0.55557,                0.44812,                0.97183,                 3.4582,                 2.2403,              0.0041897,              0.0041897,              0.0041897
                    141,                0.80387,                 1.1053,                 1.9961,                0.71646,                0.50678,                0.55433,                0.44682,                0.96536,                 3.4146,                 2.2365,              0.0041278,              0.0041278,              0.0041278
                    142,                0.80406,                 1.1228,                 2.0025,                0.76035,                0.48396,                 0.5576,                0.44917,                 0.9535,                 3.3936,                 2.2195,              0.0040661,              0.0040661,              0.0040661
                    143,                0.80097,                 1.0982,                 1.9967,                0.74062,                0.49653,                0.56129,                0.44928,                0.95834,                 3.3533,                 2.2308,              0.0040044,              0.0040044,              0.0040044
                    144,                0.80201,                 1.0994,                 2.0027,                0.71022,                0.50928,                0.56369,                0.45358,                0.95833,                 3.3329,                 2.2315,               0.003943,               0.003943,               0.003943
                    145,                0.80519,                 1.0965,                 1.9895,                 0.7434,                0.50336,                0.56621,                0.45543,                0.96247,                 3.3906,                 2.2345,              0.0038817,              0.0038817,              0.0038817
                    146,                0.78284,                 1.0606,                 1.9762,                0.74726,                0.49875,                0.56664,                0.45669,                0.96585,                 3.4815,                 2.2376,              0.0038206,              0.0038206,              0.0038206
                    147,                0.77699,                 1.0407,                   1.97,                0.74508,                0.49947,                0.56535,                0.45472,                0.96643,                 3.5464,                 2.2407,              0.0037597,              0.0037597,              0.0037597
                    148,                0.79475,                 1.0769,                 1.9807,                 0.7331,                0.50659,                0.56553,                0.45576,                0.96666,                 3.5206,                  2.238,              0.0036989,              0.0036989,              0.0036989
                    149,                0.78426,                 1.0627,                 1.9728,                0.73892,                0.50981,                0.56623,                0.45581,                0.95831,                 3.4934,                 2.2264,              0.0036384,              0.0036384,              0.0036384
